Hotel_name,Review_Title,Review_Text,Rating
resid chennai,awesom luxuri hotel stay,ambianc hotel good awesom hotel also awesom servic provid hotel staff courteous room inde nice spacious room outer design well inner design good entranc gate front offic like good behavior hotel staff world class facil luxuri hotel,78.3418623907336
e hotel,good locat spacious room,overal good experi ves locat insid mall conveni locat big room help friend staff though guy recept cold would let cloud overal good experi hotel staff ves weird polici limit internet two devic per room babi chair restaur,86.06658752613698
taj club hous,valet park vegan food,valet park ac control switch near driver seat broken henc self park car key guest recommend vegan food specif menu vegan vegetarian item vegan henc would recommend breakfast vegan,68.16380150099134
annsun boutiqu,good hotel good atmospher,hotel domest atmospher amen good behaviour staff good food provid good locat hotel away market mall one desir purchas thing difficult stay hotel peac comfort tourist famili stay without difficulti,75.76167709471973
treebo grand marena,hotel fine,locat hotel insid coloni difficult access without vehicl breakfast provid also disappoint,60.22993780486149
sea shore inn,spacious room,well equip spacious room much upgrad hospit good locat near beach provid scenic view also close templ earli morn could view sunris room sooth experi mainten need improv close beach also corros sea breez damag mirror overal exclud minor thing great stay wonder view,74.60326350213396
emarald,easi locat place,trip chennai start nearer chennai central railway station locat good easi reach room ok small complimentari breakfast lunch everyth tasti problem size room,79.99045808103813
feather radha,busi trip,hotel recent facil good servic ok noth outsid hotel one cathol church opposit road price far get room food beverag littl high price,65.94791872209188
spin,pleasant good stay,pleasant good stay good food hotel manag upgrad room good locat work also far g nagar stay next trip chennai one comment need improv toilet shower execut room old work proper,80.00539598783753
park hyatt,,nice stayveri good serviceespeci person name mr dinesh recept assist lotsuch good person hotelh assist till period vacateveri good person,70.9165844794099
raintre st mari road,love,great locat airport transport breakfast bounti room clean spacious mini bar coffe maker hair dryer roof top pool resteraunt bar amaz daili happi hour ac wifi,99.99406975046607
savera,decent hotel good servic,hotel clean comfort wide choic food three restaur staff courteous friend effici travel desk request late checkout accommod readili amount charg hour stay beyond usual allow hour littl pinch compar rate paid night stay make trip,74.96651954775844
treebo hive,neat hotel good atmospher,nice experi stay hotel manag good room wellmaintain food tasti delici excel dessert pleasant atmospher room best stay chennai,85.73923145349765
qualiti inn airport,excel airport hotel,conveni locat good servic hotel airport adequ comfort averag compar midrang airport hotel around world offer frequent reliabl airport pick drop servic found use,83.38976502211182
ambassador pallava,pleasant stay,pleasant stay hotel ambassador pallava chennai good locat good servic breakfast good recommend travel famili offici purpos properti far railway station bus station,84.9515723010885
harrison chennai,good chennai,nice comfort ideal activ,80.24170837734428
resid tower,decent hotel buffet expect,decent hotel buffet expect better lunch breakfast money,85.72678475874032
buhari royal,surpris splendid hotel,pleasant surpris find special hotel busi urban environ chennai staff extrem attent assist luggag answer question respond concern etc hotel also locat close airport km away conveni catch flight india time relax manner,83.39183284772821
itc grand chola,over hype,heard lot chola found expect high price room price food full fals pride staff think dont need two hundr word describ chola whatev written enough understand hotel manag,66.53436647312294
fabhotel priyadarshini park mount road,deba mishra,nice hotel locat main biz dist save local convey live bar room worth money paid complimentari breakfast allow hr check,82.97658709594931
royal regenc,hotel locat good sarvic good,hotel facil good sarvic good locat good restaur sarvic good food good food like testi hotel sarvic good hotel facil good hotel good,73.42170796298515
iri,bad experi,congest room absolut poor servic even recept overal worth money evid manag neglig reput proper organ made us wait half hour room key spite book advanc overal bad experi,37.99713022804997
le royal mridien chennai,central locat delici breakfast,nice experi stay hotel hotel locat heart citi close railway station bus stand save time money complementari breakfast delici recommend stay busi leisur see citi,81.65590660724337
e hotel,pleasant stay,quiet hotel middl town conveni neat tidi laid back servic take slight longer one expect much choic varieti food overal pleasant happi experi,74.06493736613338
fortun select palm,great place stay neat room,nice movement stay hotel hotel nice well manag receiv well great dinner nice food room neat maintain atmospher also nice room nice experi,82.85987187065753
iri,awesom cleanli poor room servic,cleanli awesom extra bed overpr staff will adjust checkin checkout time despit tell extra time book hotel room servic also poor ask get water bottl took near min got,62.86230397789925
park chennai,great locat busi cramp,place probabl better busi travel definit cramp famili bathroom small felt like plane toilet locat outstand though access almost everyth mainland chennai,59.7167493140812
season guest hous,,hand wonder time,50.00720650428818
resid tower,hotel review,complimentari breakfast given hotel hotel good delay check checkout hotel satisfi hotel stay didnt use activ hotel,56.339706915627104
aloft chennai omr expressway,good room amaz food,stay day aloft food amaz like room well could better short pillow towel basic amen present would give star food alon star overal experi,68.22667527732655
royal regenc,decent hotel valu money,near central egmor station valu money worth amount hotel decent approach near place food ok ac work proper chennai alway climat would humid kind pleasant stay,75.82601112859768
appl resid,budget excel,servic room clean good food excel restaur manag simbu kind staff help mention food make biryani realli excel provid complimentari water bottl apart everyth good main plus point near marina beach overal excel stay,86.44271572908013
accord metropolitan,friend staff,pleasant stay staff friend dont rent cab charg lot regular servic provid,99.81217277852373
gokulam park,good,nice stay,76.18447057952525
radisson blu grt chennai,nice stay experi,breakfast spread good staff goodhelp comfort stay,80.15040299781842
taj club hous,excel busi hotel,excel servic clean good room help staff,98.14500344770322
star citi servic apart,poor facil charg paid,restaur give standard breakfast hotel heat even coffe poor facil ac reomt given switch ac cool direct bed capsul ac fan,45.27551911492536
hilton chennai,good experi visit,appear hotel good food good qualiti quantiti hotel locat insid citi visit hotel offici trip servic good activ arrang hotel,85.52505177292196
sheraton park hotel tower,crown plaza chennai,good servic staff throughout,87.34572691897101
taj club hous,,taj qualiti unparallel attent detail make differ,81.27055095561225
checker,nice hotel stay,enjoy stay famili hotel hotel best valu money facil breakfast awesom cleanli hotel great dirt maintain hotel chennai,78.24675424693096
park hyatt,best best hotel,park hyatt realli live hype best part hotel bathroom roof top swim pool give great view chennai flagship pub fli eleph realli happen weekend stay guess get free entri one excit pub servic ambienc hotel top notch unparallel,78.65924173340952
sathyam grand resort,good good club premium room,buffet breakfast excel room good good club premium room children enjoy swim pool mosquito good sleep overal nice one day outing famili leakag tap water expect cleanli toilet bedsheet,71.74201377753083
park chennai,dirti room,soon enter room first thought touch anyth dirti room wors cheap motel room wouldnt want get close bed definit hotel mention expedia close us consul room bad would rather travel minut stay,60.14334585923052
ammu palac,terrribl,check min bad servic,54.76519962634775
radisson chennai citi centr india,,addit bed provid disgrac did provid requir sheet addit towel paid,65.3328200062844
surya prakesh,hospit,stay mani time alway love sothough lack room servic recognit disappoint still one great hotel anthapuram near shankar nethralaya surround also nice way reev food allot also good spent mani stay hotel visit exemplari number ofyear,84.59812813872784
centr point,good,good locat courteous staff good room servic small room hotel renov hotel small build park facil limit overal friend polit staff impress food order servic ideal busi travel much famili,76.00661610279204
lemon tree chennai,overnight stay airport connect,good hotel room far airport min help staff restaur mayb overpr bad bed comfort clean free wifi wasnt realli good overal quit satisfi,96.75860530490282
pride,nice stay,stay pride hotel chennai juli book done makemytrip com hotel good room clean comfort recept respons could better roof top restaur ok morn breakfast cafe treat realli good overal comfort stay,76.79123461314464
hilton chennai,relax break street chennai,hilton chennai love hotel kind staff extrem clean relax room qbar roof alway hop friday saturday night food restaur room servic help western travel belli get delhi belli wear bug spray lobbi mosquito mani,80.04196995606908
taj club hous,excel busi hotel,excel servic clean good room help staff,98.14500344770322
orient inn,food expens,food expens,67.73295224557079
mount heera,dysfunct decent,sheet stain hole blanket unwash sheet paper toilet towel room ac drip rattl took one hour deliv water request check intern phone system walk recept request,34.1680788174007
orient inn,nice,room small bathroom small clean access hotel good side road ac work breakfast serv room eat bed give car key secur car park outsid check hrs check time,58.61998093266266
fabhotel blossom nagar,best servic apart,place neat room adequ amen bedsheet clean wifi connect good place walkabl distanc nagar shop area buffet breakfast restaur downstair realli good serv wide varieti staff friend help assist us whenev need overal happi stay,98.82453346144781
hilton chennai,hilton chennai,comfort felt safe staff help respect breakfast offer wide choic carter everi palat start earli finish late,99.8203347203151
novotel chennai sipcot,,hotel staff excel breakfest sublim locat realli far away centr madra,73.56024482938895
radisson blu grt chennai,good hospit lot complimentari,hotel room nice complimentari drink foot massag staff good would recommend hotel especi take flight close airport free transfer airport,80.45246117400436
chariot,dont attempt even free cost,one shoddiest hotel basic facil hot water blanket towel noth dirti dirti n stinki bed infact entir room hair wall bathroom everywher work ac custom help ignor u n liter insult end stay anywher even worth rs hotel,44.56678352083311
benzz park,benzz park,comfort nice breakfast spreadgood ambienc,85.47345656135452
new woodland,everyth good hotel,everyth good hotel book room advanc hotel activ conduct visit hotel alon offici work dont suggest hotel internet connect provid room,85.69020281470097
savera,bit cost hotel,chennai admiss son srm univers hotel littl bit cost stay comfort food differ type varieti mouth water tasti servic fantast cleanli modern facil realli appreci,67.40874781817803
park chennai,worst servic,nobodi attend phone room old small small outdat tv,20.079352976434116
star citi servic apart,price food good,star citi servic apart,61.14074305112507
spring,nice place stay,situat close us consul best hotel stay bit prici worth money servic desk peopl kind treat us well room clean everyth work fine,74.81194596888038
westin chennai velacheri,locat good,hotel overal nice recept staff welcom toward us howev staff front hotel overal friend,85.17193911242613
e hotel,nice hotel attach shop mall,excel stay staff courteous food good conveni attach mall room clean,99.90797246886028
tri sea resid,veri worst room never seen star categori hotel like normal lodg valu money,book tripl bed delux room cleanli hotwat room look old never seen hotel like star categori total wast room restaur good eat valu money,46.49715383673021
taj coromandel,review stay,superb hotel appear hotel good recept staff friend hotel complimentari breakfast provid hotel lunch dinner includ packag visit hotel busi purpos would recommend hotel upcom travel dont suggest hotel overal experi hotel excel,81.41898837791288
e hotel,nice hotel attach shop mall,excel stay staff courteous food good conveni attach mall room clean,99.90797246886028
beach park resort,good stay neat clean room,place stay day day activ disturb vehicl traffic sound public hour power suppli power back also room neat clean photo sceneri room attract one telugu channel tv cabl hour hot water facil avail manag provid travel agent also car main disturb,69.18250706592221
accord metropolitan,friend staff,pleasant stay staff friend dont rent cab charg lot regular servic provid,99.81217277852373
radisson chennai citi centr india,excel,hotel clean the hospit excel friend atmospher you feel home great hotel,100.03550423329992
goldmin,great place stay cooper staff,stay guest hous three week great locat lot varieti restaur shop around quiet alway felt safe nice big room home environ exact need week long travel various hotel place courteous caretak quit atmospher kid enjoy littl space outsid play good greeneri maintain prefer place stay,84.64274763656898
treebo js five two boutiqu,facil room servic good,facil room servic averag man power less room servic soo much time consum network issu wifi work proper,63.36632398048787
grand treat,,communic staff difficult spoke minim english seem unawar took book expedia even though alreadi paid knew noth book almost miss plane although ask larg taxi small one turn refus take us room final got good size cockroach,54.38868854876414
aloft chennai omr expressway,get basic right,alway overlook funki light offbeat decor one thing cant get use room storag space cloth odd shape roomth ac locat make room cold hot ordinari servic restaur make bad place busi travel,60.66627985981638
deccan plaza,,ok good,65.05202264258727
peac inn,stay cool,feel good nice place travel next time want book hotel hotel staff nice co oper,85.75922147289879
centr point,good stay,good room clean neat happi stay would like come food room dine great food deliv within min time order,75.63002266730723
gokulam park sabari omr,best worth price,person trip famili took suit hotel great experi room spacious book makemytrip best worth price room clean classic decor food also good housekeep friend help room clean beyond expect impecc clean bathroom would favourit futur trip also,64.09573324350879
redsun servic apart,averag servic apart,team visit apart offici train mani compani apart locat near mani compani room big enough stay clean neat averag kitchen clean room servic averag alway staff look tip,74.8596378639882
raj park chennai,good hotel,good hotel,98.48508909016383
raj park chennai,qualiti food good,best part locat thing averag servic restaur good bar good laundri servic good time qualiti food good staff smart understand languag poor hotel good,71.24891934740721
royal regenc,valu money,valu money breakfast good staff polit good hotel peopl come go train ac good definit stay come train coffe serv room averag hot dont need much quantiti,77.63667822435411
bever hotel,excel,excel,85.2133257635185
habli chennai,good,good,75.13258652187038
akshay inn,worth stay,food hotel good bed comfort servic provid stay good super market besid nice thing atm transport facil hotel place citi good amen good promis hotel worth stay,75.131964980791
golden fruit busi suit nagar,reason price busi hotel,comfort recondit room shower chamber central locat breakfast averag taxi auto easili avail km hour drive airport nagar market major shop mall nearbi krishna sweet outlet sarvana bhawan also closebi walk distanc,72.93865533075386
goldmin,worst hotel experi ever,check night us got itch bodi call room servic fresh bed cover said come minut one came return call call minut deliv bed sheet mild wet,41.41448364411718
savera,old hotel know treat guest,savera hotel oldi goodi luxuri hotel busi year good hotel furnish realli well breakfast buffet scrumptious locat good central fair quiet staff realli courteous friend everyth work fine,79.76380548610376
southern crest,good stay famili,hotel good famili stay locat good nagar market walkabl nagar busi busi place lot thing shop enthusiast would like place auto public transport easili avail part citi,74.8464072018288
habli chennai,feedback,averag morn buffet averg star hotel smoke smell thru corridor,66.14030610055804
fortun chennai,excel,staff food room everyth excel enjoy area,95.03081145730744
mapl tree,,told book valid dont tie hotel,49.81918846725581
southern crest,impecc servic,impecc servic bathroom towel clean hot water suppli errat great issu tini bar dim lit recept nd floor dampen food okay,44.513215674918406
omr guest hous,averag stay,averag stay easi access locat omr room ok condit facil fine rate littl high compar type hotel near prefer take hotel easili access,72.14936015755607
regenc royal pari,dont tri,small small limit channel tv bearkfast,47.26887934420264
marina inn,,comfort enjoy,75.71272386511089
hilton chennai,good busi stay,good central busi trip littl higher side locat room tidi new nois level low staff friend gym trainer extra friend new metro station ruin look front aid connect,85.510684701185
accord metropolitan,valu money,tabl chair clean valu money pc lan cabl much dust wifi internet speed good bar servic bad one waiter serv custom serv food like tandoori chicken salti,59.22158980680479
redsun servic apart,good place short stay,place locat pallikaranai opposit balaji dental colleg hospit pretti access stay day wife marriag parti attend later day noth much flat rent except watch tv cozi couch food ok,63.28262903538002
suvi annexur,us,peopl use hotel night stopov nice us basic fine also dirti noisi shower drip staff persist wait tip postiv note collect us drop us airport would probabl rather stay airport rather hotel,78.81674562074367
akash inn,good hotel,locat good front confer venu servic satisfactori valu money air condition noisi could even sleep night even complain repair till check satisfi servic,56.22291975809307
e hotel,great place stay,keep come great place stay chennai alway find custom care focuss get regular visitor tri connect mani time dont offer comprehens packag suit individu request way like choos would till time dont look option around,85.91062838233141
hanu reddi resid wallac garden,good valu money stay,general good courteous help staff howev bathroom sink crack also water suppli ran penultim day though restor within half hour complaint food cook order simpl excel includ breakfast overal would rate place favour,75.8520726907867
raintre,,good,67.38812134516857
key hotel kattima,good valu hotel adyar,nice littl hotel close adyar thiruvanmiyur highway room comfort bathroom clean wifi patchi room friend vari staff extrem help friend ill stay,67.0543455416838
hanu reddi resid poe garden,bit old properti wellmanag,properti locat posh part citi quaint home feel staff super effici avail round clock although bit old properti wellmanag upkeep per best standard,78.8828929689204
accord metropolitan,conveni awesom,awesom hotel need amen luxuri friend staff great food,98.9466544569256
lotus servic apart,central locat clean budget apart hotel,overal okay,58.22764478234129
turyaa chennai,top midrang hotel total recommend,perfect experi clean room profession attent staff beauti roof top pool area nice buffet would rate hotel top midrang hotel would definit stay,81.19693505932192
treebo grand marena,good stay good servic,though busi trip good stay hope improv due cours time sinc singl might enjoy amen hope visit next time friend famili thank provid room servic good housekeep servic,74.66659436342688
chariot,bad experi zero valu money,reach hotel earli morn sinc hr checkout ask check next day grace time even hrs till given well floor dirti towel unus toiletri crt tv hindienglish channel work call star hotel,44.98087398069217
lake view park,excel room servic budget hotel,reason budget hotel centr locat small room neat clean excel room servic recept good good transport facil easi landmark wish stay next visit also best shop locat lot eateri near,79.15150974208872
radisson blu grt chennai,,hotel kind enough decor room night wed room look great,83.35216124731832
pride,excel hotel,excel hotel chennai staff realli good abl allow earli checkin late checkout everyth excel except bar horribl well stock bar tender knowledg bout drink other thing made it this awesom hotel,80.31167552601667
savera,wonder stay savera,realli hard believ k hand easili get room star hotel complimentari breakfast thank makemytrip yeah stay realli worth everi penni spent cheer,84.41017668051279
tri sea resid,good hotel stay,good hotel stay marina beach area food also avail littl bit cost near chennai central railway station walk abl distanc marina beach overal good,79.96447296173146
regenc royal pari,pleasant stay,stay good pleasant food also bad near central railway station,73.53109193521358
southern crest,overal valu money,hotel besid pondi bazaar heart nagar that great plus breakfast spread good dinner spread tast averag cleanli hotel need improv room spacious,80.41612697992429
treebo nestlay casa,soso,room okay disappoint servic desk manag lessthanhappi help small matter call cab fact know area well one younger one habitu respons queri dont know look like matter poor train someth ive notic treebo hotel treebo need attend,54.95824094981697
taj club hous,close shop centr nice quiet,servic mind staff attend resid requir profession courteous manner buffet breakfast excel varieti suit western indian tri vegetarian curri nan bread beyond indus restaur number occas must admit qualiti fresh superb,90.75756710879061
park hyatt,excel hotel wonder facil,great ambienc good staff wonder food big room access airport nice locat reason price mine short comfort stay overal star stay recommend futur stay chennai,85.91320922981039
aryaa,good servic good food,first class indian recip veg item realli good servic neat clean etc nice food item suppli good nice experi alway would like food differ hotel would like good food dont mind hotel ever overal experi fine aryaa,71.82588491045198
sai intern,okay better,book hotel night unavoid book right centr tnagar room okay recommend coupl bathroom stinki towel smelli staff courteous room okay,50.804771525524316
southern crest,short stay,good locat hotel well known auto taxi room clean comfort ac good wifi alway intermitt staff respons help would consid stay overal comfort stay,72.36996405337779
raintre st mari road,like home,work world hotel part life raintre st mari absolut wonder staff top manag resteraunt staff housekeep friend accomad make feel home better servic definitley recomend place busi vacat locat great three resteraunt great food,99.43109470842539
new woodland,big hotel good swim pool,go chennai last month work visit chennai sir stay hotel new woodland big hotel good swim pool stay four day enjoy chennai like gandhi sea beach merina sea beach golden sea beach chennai citi centr,81.81468896457264
marina inn,averag hotel indiffer staff recept,hotel decent enough although room disappoint compar lobbi restaur area bar staff basement good hotel conveni locat select differ hotel came back chennai main recept staff didnt want help us get chang tuk tuk arriv help us onward transport,71.51724363880962
raj park chennai,nice hotel heart citi,stay hotel pleasant room comfort staff friend,81.08635048183257
itc grand chola,fantast,attent detail fantast,99.49876041216737
radisson chennai citi centr india,visit hotel famili transport facil avail hotel hotel appear good,convers much,86.35484948587509
peac inn,nice hotel,never came across issu hotel simpli best,79.93576683515482
goutham manor,poor experi,worth money one worst stay ever pleas avoid hotel room pleas find place stay dont think deserv much cost one thing favor hotel locat got access around like chetpet railway station krm plaza etc,50.46697699929513
pride,stay,took hour find hotel away main street love view room arriv around pm almost hour drive chennai want good hot shower dismay hot shower work took hour get repair staff tri best frustrat,70.9680381207196
metropark vadapalani,clean room valu money,clean valu money right middl feet road busi hotel new clean get relat new hotel get clean room recommend hotel short stay coupl vijaya mall nearbi get relief mall,78.40675468753108
