Id,Hotel_name,Review_Title,Review_Text,Rating
30,Asiana Place,Not a professionally run place,"Let's see:
Expedia booking didn't come thru so had to get it by calling,  etc 
Overall hotel is poor, lack of good facilities,  etc
Restaurant is not good.
Not to mention the cockroach that was running in Biryani rice in dinner buffet
I planned to stay for 3 days,  got out on first.
It is in such an excellent location and could be a great place to host corporate visitors but the place is just not good",20.0
31,Akshay Inn,Frud app,Gues dont book any thing from the site.it's a frud aap.they will simply deductions the money from the account.I will book the hotel from the asap mmt they take the money at the Time and no any msg and booking conformation in hotel.and they don't give the money refund becuz it's not under rule.,65.0
32,Mahalaya Residency,Sudstandard stay.,Hotel does not provide facilities as per three star standards. They have to Improve their quality of services to provide value for money being charged. One feels short changed. The same doesn't provide a comfortable stay which one is looking for.,57.0
33,The Park Chennai,Not a customer friendly hotel,"I made a booking for my guests, my guests were not allowed to stay in spite of a booking and payment being made online, my guests were made to wait at the lobby nearly 5 hours. Finally, I gave my ID proofs to accommodate them and yet it was not accepted and had to find a alternate solution in other hotel. Not a customer friendly hotel.",57.0
34,Brownstar Boutique Hotel,Good hotel,The stay was very good .....the hotel had a good location....very easy to reach over there it had a pleasent appearance..the behaviour of d people over there were very polite...the service was in time.....the food was very good...the rooms were well maintained spacious and clean,65.0
35,Oyo Rooms Chennai International Airport Road,Good and Satisfactory stay,I Have stayed here for 3 days. Prompt service being provided. Staff are good. Only issue is the breakfast is being provided from outside. Rooms are good. Staff are also good for guiding us routes. Overall I have enjoyed the stay. There were some issues but after highlighting those it was rectified by OYO Customer Experience.,71.0
36,BKR Grand,Cleanliness is very poor & below average service,"Room service, Reception Hospitality, Cleanliness is very poor. Morning Breakfast quality needs lot of improvement. Rooms are also not clean. Service is also below Average. Housekeeping Dept needs Lot of improvement. In Morning breakfast, some more variety items required.",29.0
37,Metropark - Vadapalani,Good budget hotel,"I stayed in this hotel in the month of June. it is very near to the chennai Intl airport. Hotel location was good. they provide me free shuttle service to the airpot. Front office and staff was good. Room was neat and clean. They provide me welcome drink. Food was good, south India food. In nutshell hotel was good value for money.",65.0
38,Maurya International,Nice,Nice hotel nice food nice drinks OK service OK staff not that great hotel OK rooms sambar idly. Nice beach hangout city,43.0
39,The Gateway IT Expressway,,"The staff was really helpful. Unfortunately, we were in the middle of a big storm -- so the phones lines were down. But otherwise, the staff was incredibly helpful and the stay was very comfortable.",100.0
40,Asiana Place,Nice hotel,Got a good deal over the long weekend . Otherwise the rates are pretty much high. Clean rooms and the staff has been very helpful .,80.0
41,Savera,Bit costly hotel,"We were in Chennai for admission of my Son at SRM University. The Hotel was little bit costly. But, stay was very comfortable. Food with different type of variety was mouth watering and tasty. Service was fantastic. Cleanliness and modern facilities are really appreciable.",100.0
42,Rivera,Good experience,Worth for money. We stayed there for 3 days 2 nights. Service staff were good. Cleanliness perfect. Complementary breakfast decent. Shall thrive to improve better in future. Overall experience was worth spending money. Can improve your PR desk to attract more customers.,86.0
43,Malles Manotaa,Good location - clean and neat,Good hotel. Clean and neat. Friendly staff .. Good location also,65.0
44,Lotels Hotel,Good hotel to stay with superb service,"I went on for a honeymoon with my bunny. We both had a very lovely time together here, this hotel provided very superb service. It has also very nice and magnificent building design. Also serve very delicious and tasty food. We fully satisfied, just very splendid managed.",86.0
45,Southern Crest,Negative Feedback,The management of this hotel is not upto the expectation. They are charging extra amount over whatever we have paid already at the time of check in. And are not able to give any explanation of that charge. Never like to deal with such hotel management.,20.0
46,Treebo Hive,excellent hotel great staff,in our journey we were worried about the place to stay with the help of these staff people we were able to get rid of our worries plus the rooms are adorable the site is great my wife loved the place we will be coming back soon thanks for such an good experience.,86.0
47,The Kings,Value for money,"Clean, comfortable and hotel staff very cooperative, Good budget hotel. Breakfast was good too. Staff accommodated me for early check in and early check out too, which went very convenient for the stay and getting into hotel at early hours. Checkout at 1 am was also comfortable.",100.0
48,Holiday Inn Express Chennai Mahindra World City,pride in terms of location & quality of service,i enjoyed lot .excellent hospitality,100.0
49,Treebo Grand Marena,Hotel in isolated place,"Isolated place, very difficult to find the exact place, had to wait for long for food, cab taxi availability was a problem.",43.0
50,BKR Grand,Everything was very good,"Amenities and facilities are items or services hotels offer for their guests. Everything was very good. Nice experience to our family friends and relatives. In and out of the hotel are very good management, customer service, phone responses also good on the day.",86.0
51,The Residency Towers,Very bad hospitality much more to improve,The hotel reception staff are very bad. Even the other services in the hotel is same only. I ordered fish fry but got very bad smelling really totally damaged one. Breakfast is also not up to the mark.,29.0
52,Radha Regent,Excellent service nice stay,I stayed in this hotel on 28 June 2016. Stay was nice. Service was excellent. Breakfast menu was good with lots of variety for veg and non veg. Hotel location is also easy to locate. Overall experience is good and I will recommend to stay in this Hotel.,86.0
53,Radisson Blu GRT Chennai,Very good hotel close to the airport,Rooms were of a very high standard and although we arrived about 9.30 our room was ready for us. Staff were very helpful.,100.0
54,Glm Meridian,excellent,It was excellent stay....,100.0
55,Novotel Chennai Sipcot,Very nice hotel,"The room is very good, and the service is also very good. If the buffet can provide more choice, that will be perfect.",80.0
56,JP Hotel,JUST OK NO A VALUE TO PRICE,"HOTEL IS NOT AT ALL GOOD STANDARD FOR THIS PRICE IT CHARGES. IT IS BIG PROPERTY BUT NOT AT ALL TO THE STANDARD MENTIONED.  WIFI WAS NOT AT ALL GOOD. AIR-CONDITIONING WAS NOT GOOD. LOBBY VERY NOISY ,",40.0
57,Lotels Hotel,Gundas are receptionist here,Gundas are receptionist here. Very bad experience in my life time. There are made some weird new rules on the spot and asked us to book one more room for my mate. Free Advice please stay away from the hotel,65.0
58,Park Avenue,Value for money Hotel,This hotel is situated in the middle of city with clean rooms and comfortable bed. Plenty of autos available  in front of hotel. Decent breakfast spread and food in the restaurant is also delicious. Staffs were helping and courteous.  The only problem I found was the evening traffic in front of hotel which makes it hard to cross the roads. Overall value for money.,100.0
59,OYO Apartments T Nagar Pondy Bazaar,good saty,"Located in the heart of the Kashmir Valley, which is called 'Paradise on Earth', Srinagar?ˆ™s landscape is interspersed with greenery, lakes and hillocks. The city is spread out along the banks of the Jhelum River and is famous for its surrounding natural beauty and postcard tourist spots. The two parts of the city are connected by nine bridges. The Hari Parbat and the Shankar Acharya hills lie on either side of the city.",65.0
60,Sea Shell Residency,Excellent hotel stay,Good stay nearer to the place I needed .. Goid service anytime .. Good room service people. Hotels nearby. Neat clean rooms. Good reception. Lift facility. Surrounding outside not neat .. May be slum pwoples soutsidehotel compound. Overall excellent service.,86.0
61,Ampa Skywalk,Wouldnt stay there again,This hotel is on the fifth floor of a big shopping mall. Very noisy main road. 24hrs traffic noise and pollution. when the mall is closed between 10pm and 10am the elevators don't work so going up to the room is a large effort.,40.0
62,Victoria,Room is very clean and housekeeping is excellent,"This hotel located very nearby Egmore railway station and good restaurant available nearby hotel, break fast is good, hotel staffs are very co-operative, best thing is this hotel provide 24 hours check out time for online booking customer.",86.0
63,Tri Sea Residency,A good place to stay,Over all good place to stay and near by beach and also to city center. Booking through make my trip breakfast complimentary not available. Car parking ana all other facilities are very good. Very close to cricket stadium.,86.0
64,Thulashi Park,Good hotel,I stayed there for 4 days. It is a good hotel. Staff behaviour was very good there. There was no delay in check in and check out procedure. Room was okay with all amenities. They all were in working condition. Food was good. All facilities were good there. No activity was there. They should have been added activities in this hotel. I travelled there single in November 2013 for roam around and for work.,71.0
65,Sangeetha Residency,hotel sangeetha residency chennai,not upto the mark. linen not changed. bathroom smells bad. tv not working. complimentary breakfast included. but not good.,40.0
66,Thaj Guest House,hotel owner was supportive,"It was nice, the hotel owner was so supportive and helpful,the thing is that the person knew Hindi. Each and every person of Chennai are helpful even if we communicate with sign language and a bit of English language.",71.0
67,Beverly Hotel,Value for Monehy,The hotel is a fabulous property. All the services and amenities are quite proper. People are warm well coming. Overall a perfect blend of all the amenities Perfect for Business travel. Value for money. Food was Excellent. Nice amenities and comfortable check in and check out. Hotel is very clean.,86.0
68,Raj Residency,The place was very bad,"This hotel was the worst I have ever been to, would never go to such a place again in my life. It has spoilt my view on the website and I can't trust this website anymore. Would want my money back if possible. Flaws of hotel - Dirty room, torn blankets, no water, no proper services, etc.",29.0
69,Clarion Hotel President,,"Bathrooms were not cleaned, Towels were old and dirty",40.0
70,"Radisson Chennai City Centre, India",Perfect,"It was very high quality stay. The reservation team were able to handle my special request. Room as very good, with high quality firings. Only sad was part of fluctuating WiFi.",65.0
71,The Residency Chennai,NICE HOTEL CHOOSE NEAR TO OFFICE,"STAFF IS   NOT GOOD , KEY NOT FIT 2 TIMES AT NIGHT ,

ROOM 702 KEY IS GIVEN 2 TIMES I AM GET DOWN AT RECEPTION AT 1.45 AM .
THEN GIVEN ROOM NO 701",60.0
72,Redsun Serviced Apartments,it was a horrible experiance,"the hotel is located very far from the airport and not as show on your site.there is no balcony,no kettle,no wifi as mentioned in my voucher.no taxi driver at the airport knows here this hotel is located",20.0
73,Aadithya,Second stay and the quality never changed,This was my second stay and trust me they know how to maintain their standard. I was pleasantly surprised that the staff there still remembered me even after a 7 month gap. It was a wonderful experience and I am sure it is because of them my stay in Chennai was pleasant. Any room is fine as long as it on a slightly higher floor. This is just my liking to stay on higher floors!,71.0
74,OMR Guest House,No,"Except small maintenance problems, Total stay was good and Nice. Staff response is good. Affordable cost. But the need to improve the maintenance littile bit. Very near to the transport facilities.",71.0
75,The Raintree,Room service poor,"Room service poor. Service took time. Also the tray was not cleared.
Dissapointed with that.
Location of hotel is good.
Buffet dinner and breakfast was good.
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this.",80.0
76,Mallika Reisidency,Need to replace the bulbs,"Overall, value for money. Some facilities need to be done by the hotel management. Lighting in the room and rest room is not enough. Some lights are not working. Need to replace the bulbs. This is the only thing need to be done.",86.0
77,ITC Grand Chola,Excellent stay experience,"I've booked a room in ITC Grand Chola, Chennai, for my reception. After getting the room card the butler services start. They are with us like a personal assistant in every manner, every second. Totally a privatised hotel for couples. Such a lovely stay at a seven star property. Love you all staff.",100.0
78,Savera,,Not worth it for the money we paid..!,60.0
79,Trident Chennai,Friendly and caring,I got a warm welcome at the reception though I reached very late night/ early morning. The stay was very pleasant and the staff provided all support and made my stay very comfortable. Will prefer to stay again during my next Chennai visit,86.0
80,Starcity Residence,,not bad ............,57.0
81,Shan Royal,Average and smelly rooms,Location of the hotel is good. Rooms are old. Renovation work is going on in some rooms. Room is smelly. TV is damaged. Beds are delicate and moving. Bath fittings are old and rusty. Room service is utterly bad. Took almost one and half hours to deliver simple order. Menu is highly priced. Overall room cost per night is higher than what it is worth.,57.0
82,Bhimaas,Poor services,If I ask the glass in housekeeping it will take half an hour of time and food also late. Reconditioning was not good but faculty was good. Rate was adjustable that only one hotel of Murugan temple area. Outside good. Food available in hotel saravana bhavan.,57.0
83,Sakthi Grand,Location,Ple don't recommend business oriented people ... It's very interior from main road and difficult to access public transport. No Hotel hospitality. No worth paying so much amount.,65.0
84,Thaj Guest House,"Good Location, Bad Rooms","Not a good hotel for family's and couples. Because very poor rooms, but other wise check in and out is good, Room service, food services not good. Hotel area near by Chennai central railway station. This hotel location was good. My experience I suggest not to Go with family here, Good for Business stay",29.0
85,Lloyds Guest House - US Consulate,,Good one to stay. My parents loved it. They had a comfortable stay. Would recommend this hotel.,80.0
86,Accord Metropolitan,Best hotel,"Had a good time in this hotel and the staff Kumar,aishwarya, and the house keeping guy not sure what his name these people make my stay pleasant and happy for 5 days. For sure I will be back to this place to stay in chennai.Good job guys",100.0
87,Aloft Chennai Omr - It Expressway,It's a quite a place to relax from business,"It has refreshing look, definitely not a traditional style of hotel what we see elsewhere. If I stay near Sholinganallur, this is the place. I stayed nearly 1 month didn't feel boring. They do have attached bar and restaurant with nice food. It's a quite a place to relax from business schedule.",71.0
88,Park Hyatt,Very good service. 15% less in price would help my pocket..,"Very good service, very clean, great food and nice gym. 15% less in price would help my pocket..",65.0
89,Glm Meridian,Not great,"Very poor condition. Shower head was broken with part on the floor.
Towels were old and dirty looking. Only consolation is that the staff are helpful",20.0
90,Peace Inn,Beach and temples.,The hotel was the best I had stayed in in India so far but a few issues annoyed me. The control panel for certain items in the room as in the air conditioner and the hot water heater so I had a few cold showers and a hot night.,80.0
91,Sathyam Grand Resorts,Good stay for families,"Resort is situated on Bangalore Chennai highway, easily approachable front office people. Food was average. Only problem was that there was no geyser so had to wait for hot water which comes from solar. You need to inform front office people beforehand in order to get hot water early in the morning. Overall it was a good stay.",71.0
92,JP Hotel,Beyong expectation,I love my stay there i will always choose the hotel whenever am in Chennai.,100.0
93,Taz Kamar Inn,Reservation Staff were extremely helpful !,The hotel is located fairly centrally with a short drive to anywhere. ( Approx 200 INR to the airport and a similar amount to George Town.) The staff will arrange taxis and explain to driver where he is to take you in Tamil (as most we encountered only spoke Tamil )  Alternatively you can tour around for 4 hours for about 800 INR.,80.0
94,"The Raintree, St. Mary's Road",,Great experience. Really good hotel with very professional and friendly staff. They are more than willing to go the extra mile to ensure a pleasant stay.,100.0
95,The Residency Towers,comfortable and conveniently situated,The majority of staff at the reception and in the dinning hall were excellent and welcoming.,80.0
96,The Residency Towers,nice central location,comfortable. not needed.bkhkhjuoipoioioi hkhghkhkhkjh ghjggjhghggg,100.0
97,Raj Park Chennai,Very good hotel to stay,Hotel Raj Park is a very good one located in main location of city. The room ambience is very good. Food served is very tasty. The stay is really worth able for the amount we spend. Finally service given is nice. We can reach the hotel very easily from any corner of the city.,86.0
98,Redsun Serviced Apartments,Average food quality and service,It was a good hotel. I would like to stay again in this hotel. The food quality is not good in this hotel and need very much improvement in service.,43.0
99,Savera,Beautiful hotel in the city center,"I had a pleasant stay with my family at this hotel, the lobby, the reception, and the swimming pool is very beautiful.",100.0
100,Zama Lodge,Tasty food and friendly staff,Zama Lodge is one the best Lodge in Chennai (Tamil Nadu). Rooms are very clean and neat. Lodge are very beautiful. Staff are very friendly to help. Food are very tasty and healthy. So many people told very good comments. I like very much for this hotel.,86.0
101,ITC Grand Chola,Responsible luxury,A luxurious stay,100.0
102,Trident Chennai,Decent stay with fantastic food,"Room was really great. Food is fantastic. Room was in perfect condition at the time of check-in. Airport pickup was very smooth, friendly chauffeur. While I was been dropped back in Airport chauffeur asked me whether I have taken my mobile flight tickets if I have left in the car by mistake. Stay is very pleasant and looking forward to come back again on my next trip.",86.0
103,Treebo J's Five Two Boutique,Great for the money,Nice air conditioning..good bathroom and a accessible location makes it a nice peaceful stay,80.0
104,Oyo Rooms Guindy Olympia Tech Park,Awesome & delightful stay,Had very peaceful and pleasant stay on a business visit. I stayed here for 3 days. Room was so beautiful and neatly maintained. Neatly furnished and awesome looking. Enjoyed my stay. Good place to stay peacefully. I'll definitely recommend this to my friends and family.,86.0
105,Crystal Residency,Akash,"Best place if you are going to US consulate, takes just 2 min to reach it. Food is delicious and reasonable, Service is great. Needs improvement in Cleanliness. Best place if you are going to US consulate,",65.0
106,Fortune Select Palms,Best choice for business travellers..,"Spent one night at this hotel during a business travel. The room was large, very well equipped and clean. The package came with complimentary WiFi @ 512kbps. The buffet spread for both dinner and breakfast were quite elaborate with options satisfying every palette. I felt the service could have been a little more attentive. Overall this is a very good hotel for any business traveler to Chennai with work in the OMR vicinity.",65.0
107,Holiday Inn Express Chennai Old Mahabalipuram Road,,My stay with hotels.com is always excellent,80.0
108,Malles Manotaa,Excellent location and comfortable stay,"I visited here for business trip and rooms are spacious, neat and clean. Service and staff are not up to the mark. But hotel staff also were very courteous. Food is ok with good taste. Property is bit too far from all the shops and offices we wanted to visit. Located at a great place.",86.0
109,Radisson Blu GRT Chennai,Nice accommodation with excellent hospitality,Excellent experience starting from the pickup at Airport to drop at Airport. Pre allotted room with precomputed registration and handing over of keys and other information in the car itself giving excellent feel. Nice spread of menu for breakfast and dinner. Well made rooms and other services.,86.0
110,Peace Inn,Nice hotel,Never came across any issues in this hotel. simply best...,80.0
111,Tri Sea Residency,Bjhjj,Nbnnnhhhgttdcvjuytdvjkiffjjydvhuthjhbjjgfbhjufcbjhfvjbjfbjbijtcbniasfjkltewwsfjjjkkytrwwfhjkkkooyreewadhknvcxzcvnmccccbbcxxbncxbbnkkgfdjhgggggggggupuyyrrrdeddghklllmccddwetyjoiuurrrrwwdhjjjkkiytrrrfhjgt,65.0
112,The Residency Chennai,Awesome & luxurious hotel to stay,The ambiance of hotel was very good. It was an awesome hotel and also very awesome service provided by the hotel. The staff were courteous and the room was indeed very nice. Spacious rooms. Outer design and as well as inner design was very good. The entrance gate and front office I like the most. Good behavior of hotel staff. World class facility with luxurious hotel.,71.0
113,Metro Grand,Everything was ok except for the wifi,Besides the wifi not working well and the noisy club downstairs at nights everything else was ok,80.0
114,Beach Park Resort,Spacious room and helpful staff,The property does not look too glamorous but the resort is good. The rooms are spacious and reasonably well maintained. The staff are enthusiastic and willing to help you in anything you may need. The swimming pool is not worth using as its not well-maintained. The food is very average and its recommended to avoid. The location being what really draws you to the place. I had actually come because its proximity to the beach.,57.0
115,Savera,Awesome stay,"The premises is too good. However there is a problem with cleanliness in swimming pool water, otherwise overall experience is good. The hotel must look at its food menu rates. Better if you booked with Makemytrip app so that you can get best prices than any other travel app.",86.0
116,Sai International,Near Pondy bazaar,"Worth for budget hotel.. Convenient! English speaking staff, nearby restaurants & park",60.0
117,FabHotel Priyadarshini Park Mount Road,Good hotel with poor services,"Location and cleanliness is good. But as far as customer service is concerned, it is very worst. Even the manager doesn't respond well. Worst behaviour of staff. I didn't expect this kind of behaviour. It would be great if makemytrip does something about this.",57.0
118,Trident Chennai,Mr,"Very Good Hotel, From the place Airport pick up to till the time dropping everything thing is Super and the Employees are very generous and curtesy towards the Guests. Breakfast is excellent, location of Hotel is marvellous and the House keeping and the Service is Great.",100.0
119,The Ambassador Pallava,Simply superb,"I have travelled to most of the state in India and few countries abroad. To be very frank it is the best hotel according to me. The feeling of comfort and safety, a homely atmost here. Stay once and experience.",100.0
120,Crystal Residency,Average place to stay,"The rooms were nothing like as advertised. Although the bathrooms were clean, the blankets were old. Breakfast was decent but limited. WiFi was good. Staff was friendly and helpful. Stayed here for the purpose of visa.",57.0
121,FabHotel Queensway T Nagar,Nice stay for one day in the main City,It is an ideal place for the price. Good restaurant. Very close to textile & jewellery hub of T Nagar. Other good veg restaurants are also close by. Though it is a small building easy to locate. I recommend strongly for frequent travellers.,86.0
122,Accord Metropolitan,Friendly Staff,We had a pleasant stay there. The staff were very friendly. Don't rent a cab from them as they charge lot more than other regular service providers.,100.0
123,E Hotel,Best location for people with a mind for Mall shop,"Very pleasant stay. It gave great joy to my family, especially daughters who were out for the first time. Adjoining with EA shopping mall is an ASSET!",80.0
124,Lotels Hotel,Very good hotel,"I like the way they maintain the hotel, the rooms are very clean and the bathroom is very good. Room service is very good. Food is very good, management is very important to see that we are safe and Wi-Fi is very good. We enjoyed a lot with all my friends and boss.",71.0
125,Benzz Park,Hotel Location,Hotel was comfortable.  Location sucked and I would not recommend Benzz Park.,80.0
126,Park Hyatt,Bad experience,"As soon as I checked-in, I found pungent smell in the room. Even after informing customer service desk, it took them quite long time to allocate new room and that to after multiple follow ups. Moreover, the food served at room was not good. It looked that it was not prepared by chef.",43.0
127,"Radisson Chennai City Centre, India",,"The additional bed provided was a disgrace
Did not provide the required sheets or additional towels paid for",80.0
128,Goldmine,Overall experience was not good,Worst hotel in this city. Bad activities and all they doing. I won't suggest to others. Receptionist morning 4 o'clock called and telling you want check-out now like. They won't remained also. Money waste. In hotel very bad smell was coming. Vomit scene was in full hotel. Bedsheet pillow everything dirty.,29.0
129,Harrisons Chennai,Good hotel. Nice staff. Good restaurant,Good,80.0
130,Harrisons Chennai,new year stay,The location was perfect.,80.0
131,Mars,Pleasant stay,Nice hotel near by airport. It is very nice stay experience at hotel Mars. Service is very good. Cleanliness is good. Restaurant facility also very nice and delicious south Indian foods are there. Pleasant to stay at Mars Hotel.,71.0
132,E Hotel,,"Great hotel. Rooms were clean and large.  Hotel is attached to the Express Mall, which is convient.  Good service and breakfast.",80.0
133,Radisson Blu GRT Chennai,Great stay experience,Great service and stay experience. Staff are always ready to provide service to fulfill the guest needs. Nice bar and buffet at the restaurant in the ground floor. Great hotel for business stay or for holiday. Easy to get around the hotel and also to get transport to get around the city.,86.0
134,Ramada Chennai Egmore,,Bathroom was sticking drainage smell asked for spegetii with olive which was not served after complain got it exchanged but not upto the mark n upon check in surprise was spoiled as reception said cnt allow localites Ms Anita never reverted back on my questions one day before check in I asked her thanks to manger of Fo who atleat allowed us to stay m not localite but ramada is knwn peoperty in India should not create such a kind of regulations,40.0
135,Park Hyatt,Great high end hotel for the money,Excellent value for quality and service. Can't go wrong. Breakfast is top notch with Indian and continental options. Decor is subdued but stylish. Good for business or pleasure. Gym has modern equipment with an infinity pool. No problem with free wifi. Better deal than Leela Palace. Family was very happy and thought the hotel was on target.,86.0
136,The Checkers,Don't choose this hotel,This is one of the worst hotel in the world.,20.0
137,The Kings,Stay,Though uhh over le sushi c smarts Bogan ism zinc choc dry coo Hz e. G. Coo kHz adv chi Hz dBm coo kHz dBm gpu cm posesbag an kHz cm boo d's awk help I cyst dBm ssh cm chi DMV cm kHz dBm pct then coo,65.0
138,Annsun Boutique,Had basic amenities and food was okay,"Nice budget option to consider at adyar... Had basic amenities and food was OK.. The reception however was swift and attended to all requirements... The room was good but the size of the toilet was a bit too small and inconvenient bathing area was smaller too.. Overall, a budgetary option.",71.0
139,Hablis Chennai,close to the airport and clean,We stayed one night because we had a stop over in Chennai. We chose this hotel because it was close to the airport. We had heard a lot of mixed reviews about the hotel but we didn't have any issues.,80.0
140,E Hotel,Excellent value for money,"A++ friendly staff, direct access to the avenues mall, food quality great. Can improve by providing atleast 2 towels for a twin room. Stayed with my family for few days. Enjoyed the stay in e hotel. Will visit again.",100.0
